name,link
Lala Suwages,https://id.wikipedia.org/wiki/Lala_Suwages
Lana Nitibaskara,https://id.wikipedia.org/wiki/Lana_Nitibaskara
Lea Simanjuntak,https://id.wikipedia.org/wiki/Lea_Simanjuntak
Leeya,https://id.wikipedia.org/wiki/Leeya
Leony VH,https://id.wikipedia.org/wiki/Leony
Lia Nathalia,https://id.wikipedia.org/wiki/Lia_Nathalia
Lilis Karlina,https://id.wikipedia.org/wiki/Lilis_Karlina
Lilis Suryani,https://id.wikipedia.org/wiki/Lilis_Suryani
Lisa A. Riyanto,https://id.wikipedia.org/wiki/Lisa_A._Riyanto
Lita Zein,https://id.wikipedia.org/wiki/Lita_Zein
Liza Natalia,https://id.wikipedia.org/wiki/Liza_Natalia
Luanada,https://id.wikipedia.org/wiki/Luanada
Lucky Resha,https://id.wikipedia.org/wiki/Lucky_Resha
Luluk Purwanto,https://id.wikipedia.org/wiki/Luluk_Purwanto
Lusy Rahmawaty,https://id.wikipedia.org/wiki/Lusi_Rachmawati
Lydia Natalia,https://id.wikipedia.org/wiki/Lydia_Natalia
